epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2132.89,0.94028,1.49449,1.43983,0.20909,0.1655,0.10991,0.05134,2.53482,4.46239,3.12344,0.000553129,0.000553129,0.000553129
2,2271.84,1.09362,1.47549,1.54014,0.53682,0.44759,0.4313,0.25798,1.33508,2.26281,2.05661,0.00109311,0.00109311,0.00109311
3,2413.77,1.05355,1.41064,1.52314,0.50666,0.47107,0.43682,0.26917,1.42362,2.18559,1.99355,0.00161738,0.00161738,0.00161738
4,2556.6,0.97326,1.32958,1.45715,0.57453,0.57394,0.59003,0.38966,1.12211,1.61062,1.70506,0.00159627,0.00159627,0.00159627
5,2696.59,0.92616,1.25185,1.41743,0.66769,0.62759,0.71915,0.50616,1.03604,1.40094,1.6108,0.0015727,0.0015727,0.0015727
6,2837.77,0.87636,1.12117,1.37873,0.62046,0.56973,0.60823,0.42148,1.11123,1.42269,1.70541,0.00154912,0.00154912,0.00154912
7,2977.34,0.8314,1.04897,1.33895,0.75851,0.65989,0.73188,0.51672,1.09026,1.23727,1.59206,0.00152554,0.00152554,0.00152554
8,3119.79,0.82394,1.00119,1.3288,0.82133,0.72085,0.80752,0.58752,0.97255,1.01478,1.51777,0.00150197,0.00150197,0.00150197
9,3254.53,0.78947,0.95912,1.30195,0.87181,0.73007,0.83233,0.60223,1.02082,0.8997,1.5325,0.00147839,0.00147839,0.00147839
10,3400.77,0.75001,0.89139,1.27415,0.82765,0.76618,0.83284,0.64468,0.85293,0.8847,1.32049,0.00145481,0.00145481,0.00145481
11,3545.4,0.75397,0.91165,1.27479,0.87157,0.77039,0.85222,0.64119,0.89666,0.86155,1.38311,0.00143124,0.00143124,0.00143124
12,3681.49,0.73735,0.85912,1.26111,0.78997,0.70111,0.82828,0.62031,0.88504,0.98284,1.37184,0.00140766,0.00140766,0.00140766
13,3819.6,0.72486,0.84186,1.26347,0.81859,0.78062,0.83788,0.64469,0.84187,0.81921,1.32926,0.00138409,0.00138409,0.00138409
14,3963.11,0.71559,0.78529,1.24214,0.91828,0.80965,0.88727,0.67745,0.87217,0.73902,1.35492,0.00136051,0.00136051,0.00136051
15,4101.44,0.71022,0.80048,1.24569,0.78436,0.75481,0.84088,0.64113,0.85186,0.8949,1.34094,0.00133693,0.00133693,0.00133693
16,4236.11,0.70165,0.78646,1.23737,0.86763,0.80679,0.88252,0.68918,0.82055,0.69786,1.29632,0.00131336,0.00131336,0.00131336
17,4378.98,0.68618,0.75148,1.22226,0.87408,0.79017,0.87532,0.68544,0.82734,0.75676,1.29743,0.00128978,0.00128978,0.00128978
18,4513.62,0.6945,0.74137,1.23178,0.82154,0.76493,0.84766,0.66483,0.80048,0.86855,1.30454,0.00126621,0.00126621,0.00126621
19,4647.91,0.66509,0.70121,1.21283,0.88301,0.81253,0.89221,0.70003,0.77718,0.68235,1.24794,0.00124263,0.00124263,0.00124263
20,4794.19,0.67975,0.71937,1.21803,0.91401,0.7958,0.89407,0.70105,0.79077,0.72203,1.25163,0.00121905,0.00121905,0.00121905
21,4930.49,0.65686,0.68464,1.194,0.91934,0.80809,0.90489,0.7268,0.7494,0.65053,1.21503,0.00119548,0.00119548,0.00119548
22,5067.22,0.65156,0.6629,1.19562,0.90819,0.83801,0.90191,0.73217,0.75621,0.64124,1.23426,0.0011719,0.0011719,0.0011719
23,5210.76,0.65848,0.67838,1.19914,0.91835,0.81822,0.89933,0.72497,0.76441,0.6425,1.22736,0.00114832,0.00114832,0.00114832
24,5349.47,0.63657,0.64826,1.19325,0.90064,0.83536,0.9025,0.71483,0.75282,0.67777,1.22192,0.00112475,0.00112475,0.00112475
25,5486.03,0.63738,0.63911,1.18281,0.95303,0.86036,0.91904,0.74666,0.72519,0.56952,1.18951,0.00110117,0.00110117,0.00110117
26,5624,0.63856,0.64632,1.18455,0.93601,0.8221,0.90426,0.72832,0.75324,0.64377,1.2075,0.0010776,0.0010776,0.0010776
27,5759.23,0.64408,0.63964,1.19511,0.79005,0.87892,0.88174,0.7069,0.76134,0.70622,1.21939,0.00105402,0.00105402,0.00105402
28,5897,0.62591,0.6169,1.17896,0.95278,0.83019,0.90735,0.73102,0.74274,0.61427,1.20975,0.00103044,0.00103044,0.00103044
29,6034.24,0.62175,0.61675,1.17327,0.85438,0.81166,0.88877,0.69736,0.80826,0.67791,1.27263,0.00100687,0.00100687,0.00100687
30,6173.9,0.62287,0.61311,1.17014,0.90171,0.87185,0.92308,0.74776,0.73109,0.57428,1.19763,0.000983292,0.000983292,0.000983292
31,6316.64,0.61087,0.59101,1.16231,0.9376,0.85151,0.91535,0.74328,0.73903,0.58445,1.20308,0.000959716,0.000959716,0.000959716
32,6453.36,0.61682,0.6053,1.16467,0.8996,0.82361,0.90689,0.73775,0.71696,0.65038,1.19221,0.00093614,0.00093614,0.00093614
33,6588.9,0.59398,0.56072,1.1535,0.84803,0.87994,0.90589,0.72066,0.73781,0.63165,1.20701,0.000912563,0.000912563,0.000912563
34,6723.27,0.60591,0.59056,1.165,0.95164,0.85368,0.92145,0.7617,0.69289,0.56345,1.15905,0.000888987,0.000888987,0.000888987
35,6869.16,0.59044,0.54826,1.14984,0.91347,0.86298,0.92259,0.75582,0.71012,0.57902,1.16334,0.000865411,0.000865411,0.000865411
36,7007.41,0.60394,0.56873,1.16418,0.94922,0.84567,0.92575,0.76322,0.69476,0.54062,1.14018,0.000841835,0.000841835,0.000841835
37,7144.44,0.58604,0.54327,1.14186,0.94943,0.88162,0.92966,0.76664,0.68084,0.52086,1.14114,0.000818259,0.000818259,0.000818259
38,7288.37,0.57563,0.53442,1.1368,0.9234,0.81203,0.90474,0.74053,0.7208,0.59358,1.17347,0.000794683,0.000794683,0.000794683
39,7422.62,0.58045,0.546,1.14416,0.91514,0.85696,0.9178,0.73593,0.75463,0.60256,1.21373,0.000771107,0.000771107,0.000771107
40,7560.66,0.57448,0.52685,1.13787,0.92066,0.85849,0.91713,0.75033,0.69501,0.55289,1.16272,0.00074753,0.00074753,0.00074753
41,7698.59,0.56497,0.51988,1.12757,0.93867,0.87202,0.92506,0.76821,0.67776,0.50173,1.1314,0.000723954,0.000723954,0.000723954
42,7836.76,0.57778,0.53048,1.13573,0.94289,0.86035,0.92751,0.76814,0.68181,0.51724,1.13984,0.000700378,0.000700378,0.000700378
43,7972.91,0.56723,0.50642,1.12563,0.92456,0.8827,0.92313,0.77304,0.68207,0.52067,1.13925,0.000676802,0.000676802,0.000676802
44,8111.22,0.57152,0.50939,1.1407,0.92789,0.87221,0.92471,0.76007,0.67561,0.53462,1.12737,0.000653226,0.000653226,0.000653226
45,8246.61,0.55584,0.49783,1.11986,0.9183,0.89653,0.92512,0.77772,0.68122,0.51599,1.13249,0.00062965,0.00062965,0.00062965
46,8389.28,0.55445,0.48234,1.11801,0.90543,0.88776,0.93215,0.77619,0.66141,0.53379,1.1116,0.000606074,0.000606074,0.000606074
